date,experiment,backend,model,imgsz,seed,epochs,precision,recall,mAP50,mAP50_95,AP50_pedestrian,AP50_vehicle,AP50_cyclist,latency_ms_p50,latency_ms_p95,fps_mean,latency_n_images,split_train_sha256,split_val_sha256,hardware,torch,command
2026-07-13,EXP-003-smoke,pytorch,runs\detect\smoke\weights\best.pt,640,42,1,0.0102,0.3977,0.0972,0.0606,0.0003,0.2909,0.0005,16.35,20.68,59.3,300,660d423f58e5,81c46ef86467,NVIDIA GeForce RTX 3050 Ti Laptop GPU,2.7.1+cu118,scripts/train_baseline.py --smoke
2026-07-14,EXP-003,pytorch,runs\detect\baseline\weights\best.pt,640,42,50,0.8605,0.7915,0.8588,0.5561,0.7492,0.9476,0.8796,17.91,20.63,54.9,300,660d423f58e5,81c46ef86467,NVIDIA GeForce RTX 3050 Ti Laptop GPU,2.7.1+cu118,scripts/train_baseline.py --epochs 50
2026-07-16,EXP-004,tensorrt_fp16,runs\detect\baseline\weights\best.engine,640,42,eval-only,0.8647,0.7739,0.8564,0.5584,0.7453,0.9473,0.8766,16.9,18.01,58.8,300,660d423f58e5,81c46ef86467,NVIDIA GeForce RTX 3050 Ti Laptop GPU,2.7.1+cu118,scripts/train_baseline.py --eval-only --weights runs/detect/baseline/weights/best.engine --experiment EXP-004
