frame_id,image_path,timestamp,backend,n_detections,max_confidence,monitor_score,q95_threshold,q99_threshold,state_before,state_after,transition_reason,latency_ms
24,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000427.png,2026-07-17T12:01:15.987895+00:00,pytorch,14,0.953173,0.046827,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.72
25,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000428.png,2026-07-17T12:01:16.004896+00:00,pytorch,11,0.890672,0.109328,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.57
26,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000436.png,2026-07-17T12:01:16.020895+00:00,pytorch,19,0.929138,0.070862,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.28
27,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000444.png,2026-07-17T12:01:16.035920+00:00,pytorch,1,0.877626,0.122374,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.79
28,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000448.png,2026-07-17T12:01:16.051499+00:00,pytorch,13,0.84054,0.15946,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.08
29,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000459.png,2026-07-17T12:01:16.067482+00:00,pytorch,4,0.930706,0.069294,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.58
30,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000460.png,2026-07-17T12:01:16.083499+00:00,pytorch,12,0.913661,0.086339,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.68
31,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000491.png,2026-07-17T12:01:16.099485+00:00,pytorch,6,0.907289,0.092711,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.9
32,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000514.png,2026-07-17T12:01:16.113482+00:00,pytorch,4,0.522911,0.477089,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.36
33,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000516.png,2026-07-17T12:01:16.128485+00:00,pytorch,5,0.887695,0.112305,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.11
34,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000517.png,2026-07-17T12:01:16.143997+00:00,pytorch,5,0.899981,0.100019,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.41
35,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000538.png,2026-07-17T12:01:16.160003+00:00,pytorch,2,0.296618,0.703382,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.29
36,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000549.png,2026-07-17T12:01:16.176013+00:00,pytorch,17,0.930428,0.069572,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.61
37,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000553.png,2026-07-17T12:01:16.192012+00:00,pytorch,32,0.933874,0.066126,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.92
38,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000559.png,2026-07-17T12:01:16.207999+00:00,pytorch,26,0.883436,0.116564,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.19
39,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000571.png,2026-07-17T12:01:16.223025+00:00,pytorch,31,0.869676,0.130324,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.35
40,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000590.png,2026-07-17T12:01:16.238108+00:00,pytorch,26,0.921162,0.078838,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.06
41,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000602.png,2026-07-17T12:01:16.250663+00:00,pytorch,3,0.855217,0.144783,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.6
42,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000612.png,2026-07-17T12:01:16.270010+00:00,pytorch,24,0.931871,0.068129,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.03
43,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000614.png,2026-07-17T12:01:16.285016+00:00,pytorch,18,0.925906,0.074094,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.97
44,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000625.png,2026-07-17T12:01:16.299899+00:00,pytorch,24,0.824905,0.175095,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.31
45,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000646.png,2026-07-17T12:01:16.315915+00:00,pytorch,1,0.838647,0.161353,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.22
46,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000649.png,2026-07-17T12:01:16.330918+00:00,pytorch,8,0.921733,0.078267,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.35
47,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000657.png,2026-07-17T12:01:16.346063+00:00,pytorch,2,0.875654,0.124346,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.15
48,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000658.png,2026-07-17T12:01:16.361055+00:00,pytorch,3,0.883964,0.116036,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,14.67
49,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000667.png,2026-07-17T12:01:16.377055+00:00,pytorch,7,0.946327,0.053673,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.73
50,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000668.png,2026-07-17T12:01:16.394059+00:00,pytorch,9,0.922718,0.077282,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.52
51,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000695.png,2026-07-17T12:01:16.409169+00:00,pytorch,1,0.859749,0.140251,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.13
52,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000738.png,2026-07-17T12:01:16.426073+00:00,pytorch,1,0.852214,0.147786,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.8
53,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000739.png,2026-07-17T12:01:16.442139+00:00,pytorch,4,0.902957,0.097043,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.56
54,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000747.png,2026-07-17T12:01:16.457881+00:00,pytorch,15,0.852532,0.147468,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,15.7
55,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000748.png,2026-07-17T12:01:16.474200+00:00,pytorch,4,0.906007,0.093993,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.39
56,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000750.png,2026-07-17T12:01:16.490808+00:00,pytorch,9,0.917848,0.082152,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.22
57,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000751.png,2026-07-17T12:01:16.506807+00:00,pytorch,10,0.934784,0.065216,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.39
58,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000778.png,2026-07-17T12:01:16.523806+00:00,pytorch,11,0.939755,0.060245,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.1
59,D:\Pruthu\cv projects\research\Safety-Monitored Edge Perception for ADAS\data\processed\kitti_yolo\images\val\000796.png,2026-07-17T12:01:16.540009+00:00,pytorch,17,0.929193,0.070807,0.186212,0.3727595999999983,NOMINAL,NOMINAL,no_change,16.12
